model,MAE,RMSE,R2,train_time_s,inference_time_s,inference_time_per_sample_s,n_features,removed_low_variance_columns,params_json,search_strategy,selected_by,n_configs_evaluated,search_time_s
RandomForest,41.14455457967378,56.08312712258428,0.600191410031568,49.024889500004065,0.27645070000289707,2.3124274362433882e-05,25,,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}",limited_random_search,RMSE_validation,12,383.7944934000043
RandomForest,41.14253366792137,56.09320145665647,0.6000477601579373,31.55222969999886,0.18232529999659164,1.5250966122676004e-05,25,,"{""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 200}",limited_random_search,RMSE_validation,12,383.7944934000043
Ridge,47.09553081731672,58.872406552956754,0.5594337179253077,0.03537789999973029,0.0035645999960252084,2.981681301568556e-07,25,,"{""alpha"": 10.0}",limited_random_search,RMSE_validation,4,0.17377419999684207
Ridge,47.08117158820398,58.90436200646169,0.5589553166839654,0.036078400000405964,0.003038499999092892,2.5416143865268857e-07,25,,"{""alpha"": 1.0}",limited_random_search,RMSE_validation,4,0.17377419999684207
Ridge,47.25093772185736,58.90821520780214,0.558897613332604,0.03748170000471873,0.0035088999939034693,2.9350899154357755e-07,25,,"{""alpha"": 50.0}",limited_random_search,RMSE_validation,4,0.17377419999684207
Ridge,47.224165913999826,59.085842436998774,0.5562334714162767,0.045603200000186916,0.0030655000009573996,2.5641990806837303e-07,25,,"{""alpha"": 0.1}",limited_random_search,RMSE_validation,4,0.17377419999684207
XGBoost,41.35948944091797,56.054606380603325,0.6005979776382446,1.2279675000027055,0.026953799999319017,2.2546047678225863e-06,25,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.9}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,41.22812271118164,56.2038178474114,0.5984687805175781,1.160543099998904,0.02729890000045998,2.2834713509376814e-06,25,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,41.2758903503418,56.247740840049524,0.5978409647941589,1.027993499999866,0.023021900000458118,1.9257130907953257e-06,25,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.9}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,41.32376480102539,56.26677267296615,0.5975687503814697,1.7967888999992283,0.04292469999927562,3.590522793749529e-06,25,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 0.8}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,41.309207916259766,56.268104725279315,0.5975496768951416,1.9332560999973794,0.04087019999860786,3.4186700124306032e-06,25,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 0.8}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,41.33706283569336,56.320600225544695,0.5967984199523926,1.1851611000020057,0.02732280000054743,2.2854705144749e-06,25,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.8}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,41.72627639770508,56.431123324699996,0.5952143669128418,1.560946800003876,0.027653999997710343,2.3131744038235334e-06,25,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.9}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,42.11648941040039,56.50703210870639,0.5941246747970581,0.8274499000035576,0.019425300000875723,1.624868256033101e-06,25,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.9}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,42.10932159423828,56.50860044124368,0.594102144241333,1.2291760000007343,0.02475070000218693,2.070322041169965e-06,25,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.9}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,41.78450393676758,56.52982265680103,0.5937972068786621,1.4612947999994503,0.016741999999794643,1.4004182350309196e-06,25,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.8}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,42.12562942504883,56.54374905009947,0.5935970544815063,1.272854599999846,0.024026600003708154,2.009753241631799e-06,25,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.8}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,42.124046325683594,56.55142761101394,0.5934866666793823,1.4201608000003034,0.026950100000249222,2.254295273964803e-06,25,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.8}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,42.50449752807617,56.552524154817796,0.5934709310531616,0.975440800000797,0.04878409999946598,4.080644081929401e-06,25,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.9}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,42.1728630065918,56.610403575391956,0.5926383137702942,0.8832545000041137,0.01966030000039609,1.6445253032535418e-06,25,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,42.57118606567383,56.637114115326355,0.5922538042068481,0.7966681000034441,0.01914029999898048,1.601028858133039e-06,25,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 4, ""n_estimators"": 300, ""subsample"": 0.8}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,41.706443786621094,56.65644391169243,0.5919754505157471,1.2525034999998752,0.027711299997463357,2.3179673774540658e-06,25,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.9}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,41.8453483581543,56.86776224551569,0.5889260768890381,1.338953999998921,0.029156399999919813,2.438845671260545e-06,25,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 500, ""subsample"": 0.9}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,41.5431022644043,56.870606372190416,0.5888849496841431,1.0468818000008469,0.020399799999722745,1.706382266810769e-06,25,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 300, ""subsample"": 0.9}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,41.53285217285156,57.129568505776845,0.585132360458374,1.7067858000009437,0.03929559999960475,3.286959431167273e-06,25,,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 0.8}",limited_random_search,RMSE_validation,20,26.534577899998112
XGBoost,41.552215576171875,57.20108914705536,0.5840929746627808,1.8115283000006457,0.034348000001045875,2.8731074864948455e-06,25,,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.1, ""max_depth"": 6, ""n_estimators"": 500, ""subsample"": 0.8}",limited_random_search,RMSE_validation,20,26.534577899998112
